ID,IATA,Airline,RATING,NUM_OF_REVIEWS
354,OE,Laudamotion,2.5 of 5 bubbles,1.597
355,W4,LCPeru,2.5 of 5 bubbles,307
356,LV,LEVEL,3 of 5 bubbles,2.390
357,LI,LIAT,2.5 of 5 bubbles,433
358,LN,Libyan Airlines,3 of 5 bubbles,22
359,JT,Lion Air,3 of 5 bubbles,2.073
360,LM,Loganair,4 of 5 bubbles,378
361,LT,Longjiang - LJ Air,2 of 5 bubbles,1
362,GJ,Loong Air,4 of 5 bubbles,5
363,LO,LOT Polish Airlines,3 of 5 bubbles,5.080
364,8L,Lucky Air,3 of 5 bubbles,50
365,LH,Lufthansa,4 of 5 bubbles,35.395
366,LG,Luxair,4 of 5 bubbles,1.585
367,__,Magnicharters,4.5 of 5 bubbles,366
368,W5,Mahan Air,4 of 5 bubbles,536
369,MH,Malaysia Airlines,3.5 of 5 bubbles,7.551
370,Q2,Maldivian,3 of 5 bubbles,72
371,OD,Malindo Air,3 of 5 bubbles,3.651
372,AE,Mandarin Airlines,4 of 5 bubbles,80
373,JE,Mango,3.5 of 5 bubbles,1.256
374,7Y,Mann Yadanarpon Airlines,4 of 5 bubbles,108
375,NR,Manta Air,4.5 of 5 bubbles,18
376,L6,Mauritania Airlines,2.5 of 5 bubbles,6
377,MY,Maya Island Air,4 of 5 bubbles,208
378,7M,Mayair,3.5 of 5 bubbles,45
379,OM,MIAT Mongolian Airlines,3.5 of 5 bubbles,211
380,ME,Middle East Airlines,4 of 5 bubbles,781
381,M4,Mistral Air,2.5 of 5 bubbles,303
382,MW,Mokulele Airlines,4 of 5 bubbles,178
383,QM,Monacair,4 of 5 bubbles,1
384,yy,Monarch [no longer operating],4 of 5 bubbles,3.153
385,YM,Montenegro Airlines,3 of 5 bubbles,334
386,8M,Myanmar Airways International,4 of 5 bubbles,81
387,UB,Myanmar National Airlines,4 of 5 bubbles,182
388,MJ,MyWay Airlines,4.5 of 5 bubbles,6
389,IN,Nam Air,3 of 5 bubbles,36
390,yy,Nature Air (no longer operating),1 of 5 bubbles,27
391,ON,Nauru Airlines,3.5 of 5 bubbles,50
392,NO,NEOS,3.5 of 5 bubbles,4.570
393,RA,Nepal Airlines,3.5 of 5 bubbles,243
394,NA,Nesma Airlines Egypt,4 of 5 bubbles,5
395,NE,Nesma Airlines Saudi Arabia,-1 of 5 bubbles,0
396,E3,NewGen Airways,-1 of 5 bubbles,0
397,yy,NewLeaf [no longer operating - merged into Flair Airlines],1.5 of 5 bubbles,106
398,yy,Nextjet [no longer operating],3 of 5 bubbles,42
399,yy,Niki [no longer operating],3 of 5 bubbles,708
400,NP,Nile Air,3 of 5 bubbles,277
401,DD,Nok Air,3.5 of 5 bubbles,1.367
402,XW,NokScoot,3 of 5 bubbles,231
403,yy,Nordica,3.5 of 5 bubbles,106
404,Y7,Nordstar Airlines,3.5 of 5 bubbles,223
405,N4,Nordwind Airlines,3 of 5 bubbles,1.261
406,DY,Norwegian,3.5 of 5 bubbles,27.969
407,BJ,Nouvel Air Tunise,2.5 of 5 bubbles,904
408,VQ,NOVOAIR,4 of 5 bubbles,66
